"carnet"|"trunc"|"?column?"
"RC99025"|1|"2012-05-05 15:49:45.224159"
"MA08063"|1|"2011-04-10 00:50:27.395645"
"PM00027"|3|"2007-01-18 17:20:44.212698"
"GR98041"|3|"2008-02-07 22:03:57.430547"
"MP11082"|2|"2006-09-24 15:46:16.665973"
"ML07009"|1|"2007-11-19 10:20:01.877552"
"OO03025"|1|"2006-05-19 08:59:46.170476"
"DC06001"|2|"2006-03-08 01:40:29.041177"
"RR06007"|2|"2009-10-26 05:11:34.993457"
"MD98021"|1|"2009-09-17 03:11:37.616494"
"RC08056"|3|"2007-06-24 15:12:07.480554"
"SM99036"|3|"2008-12-21 03:40:53.86015"
"FT03002"|2|"2009-08-15 09:57:15.898365"
"EC07013"|1|"2010-04-17 17:34:55.894653"
"PC06005"|3|"2013-03-17 12:56:17.489919"
"PR13032"|2|"2008-04-14 12:32:19.760617"
"HS11017"|1|"2008-08-11 11:49:05.186751"
"RC11011"|1|"2011-11-23 20:42:18.972804"
"MH98036"|3|"2006-04-15 03:30:12.778406"
"RR04067"|3|"2011-10-21 18:23:11.438694"
"EJ09001"|3|"2011-06-05 23:41:03.576264"
"GH04015"|3|"2007-06-13 13:43:04.788974"
"VR11051"|3|"2012-04-27 12:31:38.535548"
"AA11064"|2|"2012-03-24 20:19:09.704966"
"FR04020"|1|"2008-12-12 19:00:21.032294"
"RR01119"|3|"2008-09-07 07:47:20.339255"
"RH08018"|3|"2008-08-06 19:56:08.269379"
"GO02011"|2|"2012-09-24 16:54:39.817495"
"HC96016"|2|"2012-10-19 03:01:57.824185"
"RR12146"|2|"2007-12-22 20:58:34.133199"
"GR05064"|1|"2010-11-22 16:00:25.527904"
"MP12030"|2|"2009-12-28 12:53:28.185066"
"MA14087"|3|"2009-09-22 09:58:39.653309"
"MP00022"|3|"2012-04-23 01:36:21.223842"
"DP07009"|2|"2009-03-01 20:55:00.348125"
"MR05001"|3|"2011-07-02 06:00:02.847017"
"RM07092"|1|"2009-05-30 13:13:54.875935"
"MQ05009"|3|"2007-11-30 19:41:37.180732"
"HP04030"|1|"2009-08-20 06:12:12.937616"
"AM07013"|2|"2010-06-13 06:52:15.164256"
"CA94059"|3|"2010-03-14 17:33:53.422408"
"AA07138"|3|"2008-09-27 10:43:09.973275"
"HM06026"|1|"2007-08-26 22:00:29.337922"
"MF05044"|1|"2006-06-11 23:11:51.173357"
"AR12056"|1|"2009-11-25 21:50:26.032041"
"MP03018"|3|"2007-05-21 04:54:30.002082"
"MG05055"|2|"2009-02-12 03:24:12.798196"
"ML06027"|2|"2008-08-17 04:07:58.737972"
"HH05056"|1|"2009-08-03 02:31:00.83414"
"GG07026"|1|"2011-10-04 03:41:01.922752"
"GA08015"|3|"2010-09-17 08:49:00.777045"
"HR05038"|1|"2007-02-07 11:22:33.015283"
"BS09014"|1|"2013-12-31 04:57:33.370895"
"FM07030"|1|"2013-01-19 01:36:50.50975"
"MP98047"|1|"2008-04-26 10:06:23.626622"
"CV04041"|3|"2012-11-05 10:44:22.837323"
"MA04022"|3|"2011-04-25 00:31:53.058932"
"MV14015"|3|"2006-12-19 13:37:48.734952"
"TA03016"|3|"2012-05-25 23:16:30.553857"
"ZB11001"|3|"2006-10-27 03:43:39.539956"
"MA09135"|2|"2008-11-28 10:31:07.684522"
"CG03031"|1|"2009-03-16 00:09:43.622252"
"MZ09015"|3|"2006-11-26 23:54:29.753434"
"AM12111"|2|"2008-04-27 20:54:35.681716"
"BA98015"|1|"2009-11-02 22:26:30.153683"
"OC08022"|2|"2011-09-23 10:31:42.695449"
"EM07022"|3|"2006-03-22 03:09:51.560471"
"ED09008"|1|"2012-03-26 06:12:12.963569"
"LA07014"|1|"2009-02-21 13:24:01.528502"
"CM09151"|1|"2012-02-26 22:21:17.137263"
"RC04090"|3|"2011-10-29 16:38:48.477734"
"AM04064"|3|"2007-08-10 14:16:31.714641"
"DS10005"|3|"2006-04-20 17:02:06.343598"
"GS12026"|2|"2009-02-27 00:50:11.726493"
"AH10010"|2|"2008-02-04 18:40:16.078992"
"MM09187"|2|"2012-12-27 11:34:49.189523"
"GH12007"|2|"2006-03-24 14:56:04.19169"
"AR15015"|2|"2009-05-17 13:16:33.197175"
"PB12012"|2|"2008-02-27 12:57:09.835196"
"SM09061"|2|"2011-08-21 14:29:25.348783"
"CO07018"|3|"2006-10-25 07:13:56.936928"
"LE86004"|1|"2008-08-29 14:58:33.662816"
"RM03008"|2|"2006-02-20 20:04:00.496574"
"LV10015"|3|"2009-03-22 12:36:01.261291"
"EE08004"|2|"2011-09-17 02:04:49.726749"
"GC07014"|3|"2008-01-29 17:44:56.444038"
"NZ07001"|2|"2011-03-15 02:22:39.322715"
"DS97004"|3|"2007-02-01 16:47:38.055004"
"VP05013"|3|"2010-06-10 16:16:46.076431"
"RM94021"|1|"2009-08-04 23:38:34.002996"
"GD03020"|1|"2012-01-07 11:03:18.475782"
"QA06007"|2|"2010-10-18 08:10:08.716399"
"MU09001"|2|"2010-12-25 10:30:27.440551"
"AL05019"|3|"2009-10-30 22:15:06.715826"
"RA08017"|1|"2010-05-31 08:06:00.387434"
"MA12154"|2|"2012-02-06 01:52:54.30886"
"ML11019"|1|"2007-09-05 06:36:56.568019"
"RC10025"|3|"2007-01-22 15:17:44.807303"
"MR03072"|3|"2013-07-26 14:50:54.565424"
"GR98041"|3|"2013-07-19 22:42:35.875247"
"AR05043"|2|"2010-05-13 09:22:05.934768"
"ST04003"|1|"2006-08-31 22:30:25.777628"
"ZM03002"|2|"2009-06-09 10:27:42.356688"
"GS07008"|2|"2013-03-24 02:16:38.911567"
"HH07035"|1|"2006-08-22 15:06:40.100308"
"CA00048"|1|"2007-08-13 21:03:25.335807"
"AA06008"|2|"2007-06-14 03:21:47.050934"
"MM10175"|2|"2007-12-09 11:43:20.966218"
"MB13012"|2|"2012-05-18 09:37:52.281204"
"CT97009"|1|"2010-08-09 13:15:45.975255"
"CF08004"|2|"2007-01-29 02:16:39.633353"
"RZ05003"|3|"2013-01-12 03:53:56.939162"
"SE14003"|1|"2006-11-30 11:49:32.150626"
"OF10002"|1|"2008-11-15 21:44:42.131633"
"EB11008"|3|"2013-08-07 15:49:00.25216"
"MP04018"|1|"2013-03-11 03:47:28.074068"
"MS99014"|3|"2012-08-07 06:44:26.203486"
"RZ05003"|1|"2007-11-30 20:12:41.849094"
"EM10024"|2|"2008-02-16 11:26:00.747261"
"MM04103"|1|"2009-01-10 09:26:06.627877"
"NC08006"|2|"2006-04-06 00:24:16.30453"
"SV04006"|3|"2008-11-19 17:52:30.381424"
"SM02033"|1|"2006-09-20 18:21:30.556434"
"SL98016"|1|"2013-04-28 13:17:10.286111"
"HG12020"|2|"2013-07-01 00:10:25.514622"
"CL12035"|2|"2007-09-28 19:02:55.950632"
"MC10106"|2|"2012-09-25 12:16:56.750782"
"BA08040"|1|"2013-07-27 19:18:48.857228"
"OL00002"|2|"2012-02-03 04:10:42.989411"
"MM08145"|1|"2013-03-22 14:09:40.523117"
"FM09019"|1|"2013-06-16 18:57:26.239072"
"RR06132"|2|"2008-10-29 23:05:40.466419"
"GG04103"|1|"2009-05-04 18:16:39.878437"
"AV10055"|3|"2013-06-18 08:40:46.411434"
"HC10036"|3|"2008-06-14 00:23:07.605455"
"OA14027"|2|"2007-04-09 14:23:45.756305"
"CM98076"|3|"2010-04-28 10:30:26.575699"
"BO99001"|1|"2009-09-08 19:08:40.594558"
"GR05085"|2|"2006-03-07 09:59:54.299146"
"BR09027"|2|"2013-02-27 05:53:14.364186"
"MA03110"|3|"2008-01-23 17:51:16.860274"
"FC08005"|3|"2010-10-17 23:38:52.356446"
"MM91251"|1|"2006-10-03 07:47:30.814501"
"AC00007"|2|"2006-08-05 21:59:11.862351"
"HG07016"|1|"2006-08-16 11:01:15.976538"
"MG95009"|3|"2013-12-25 14:49:33.027799"
"EG08012"|1|"2012-03-14 05:25:47.552462"
"VG07019"|1|"2008-10-23 12:24:59.864969"
"DM06003"|2|"2013-07-17 02:53:26.382038"
"LG06031"|2|"2008-12-27 13:59:21.03278"
"MR10165"|2|"2013-12-16 09:19:20.10224"
"ML94005"|1|"2007-09-25 18:26:34.61641"
"HB08002"|3|"2012-10-24 09:50:56.065989"
"RR05153"|1|"2013-08-01 17:47:31.069244"
"AS09006"|1|"2007-11-14 09:47:23.366238"
"GP83016"|2|"2009-03-10 07:27:59.273873"
"ZZ99002"|3|"2008-03-08 00:32:05.612737"
"MM05174"|3|"2007-04-30 12:37:34.259509"
"TV14002"|2|"2013-10-25 13:27:52.895211"
"HM12035"|3|"2011-07-14 03:53:02.171649"
"CL10050"|1|"2007-09-23 23:43:15.790678"
"VV08034"|1|"2009-04-16 22:44:06.291253"
"CP05033"|3|"2009-07-08 01:29:59.447164"
"GC05028"|2|"2008-04-06 00:07:19.805393"
"LF09003"|2|"2008-02-28 23:27:09.305681"
"LR98032"|2|"2008-07-04 00:20:02.569337"
"MS07085"|3|"2008-03-19 04:24:40.827702"
"HM08038"|3|"2006-05-29 17:14:41.137918"
"ZD05001"|1|"2009-01-19 03:11:45.185876"
"EA13028"|1|"2006-12-26 03:18:34.291817"
"BA05021"|1|"2011-04-16 10:25:33.661653"
"SF11015"|2|"2010-08-17 19:46:46.657338"
"HM11035"|3|"2013-09-18 18:04:07.268427"
"ZR05004"|3|"2013-05-12 14:48:17.061897"
"DM05023"|2|"2006-03-06 03:29:13.641893"
"QA85009"|2|"2006-09-21 17:03:51.394795"
"GG02048"|2|"2013-01-27 01:18:15.710941"
"LR13010"|1|"2012-08-14 11:19:59.285244"
"LG06016"|3|"2013-01-19 23:38:11.480607"
"SD99007"|2|"2007-10-16 23:41:12.28487"
"MD05029"|3|"2013-09-17 00:42:39.040615"
"GC08083"|3|"2011-09-20 05:15:57.971576"
"RE04005"|3|"2007-06-28 01:52:47.699884"
"VG04001"|2|"2013-04-13 16:52:31.026274"
"GP05034"|1|"2006-05-19 12:58:10.161194"
"GM09008"|2|"2009-08-02 08:20:39.533916"
"RU08008"|1|"2009-11-02 01:16:07.646592"
"GR00029"|1|"2011-10-29 07:09:24.796692"
"HE13003"|3|"2009-11-22 10:04:38.185673"
"GH07042"|1|"2008-05-25 15:44:40.631886"
"SM99036"|3|"2007-05-26 12:44:47.795204"
"FM07005"|2|"2010-05-17 11:22:26.069675"
"GC05055"|1|"2007-07-15 08:52:04.45775"
"MC03130"|3|"2007-10-31 07:06:24.42519"
"RS03049"|3|"2009-06-06 01:32:32.497845"
"MT07013"|2|"2006-05-13 00:57:25.209731"
"GR09012"|3|"2007-01-25 22:04:16.171467"
"EG06002"|2|"2013-03-13 06:26:37.36445"
"BR09043"|3|"2013-01-14 13:38:03.736107"
"RS03049"|3|"2007-05-23 03:13:55.641163"
"LF09003"|1|"2013-09-05 08:20:00.86655"
"RC11057"|1|"2013-01-26 21:15:54.975988"
"TA09013"|3|"2008-04-11 09:35:34.384692"
"PM00043"|1|"2007-10-07 02:00:28.477063"
"RE08005"|1|"2007-08-29 05:26:16.849527"
"AH07025"|2|"2006-09-07 16:34:09.79315"
"MG91065"|2|"2006-11-09 16:51:10.511368"
"SE95004"|3|"2006-09-14 14:46:17.098506"
"VP07024"|1|"2011-11-29 09:03:41.715833"
"RM10098"|3|"2006-12-21 15:00:33.902519"
"HP92022"|3|"2010-09-01 10:08:58.012921"
"MC03006"|3|"2006-04-05 16:20:05.994428"
"GL08017"|3|"2011-09-24 14:40:21.145897"
"OG12014"|3|"2013-09-23 20:54:20.082505"
"BR13032"|2|"2013-01-09 21:02:10.511958"
"GT06002"|3|"2010-07-11 10:29:12.557108"
"MN14007"|3|"2012-12-01 06:20:48.29158"
"RD08015"|3|"2010-01-30 14:10:58.245112"
"HI10003"|3|"2013-02-02 02:02:02.450221"
"CG04079"|3|"2007-04-21 12:25:40.537594"
"QC93013"|1|"2009-11-23 01:00:22.407355"
"MG03049"|1|"2012-11-19 02:03:54.022157"
"LG07002"|1|"2009-09-29 09:15:43.691485"
"FC08005"|3|"2008-01-02 01:10:52.785784"
"GB10009"|1|"2012-05-02 21:21:45.797695"
"VM12053"|2|"2013-09-04 15:42:39.514354"
"JC13006"|2|"2011-11-28 23:26:24.077748"
"VA05042"|2|"2011-04-02 13:43:00.492085"
"PC01001"|2|"2006-04-17 20:54:10.06028"
"RM06053"|3|"2007-11-01 01:37:09.743488"
"MA11123"|3|"2012-09-01 23:52:50.99603"
"MM08143"|1|"2008-02-27 02:04:32.502465"
"GM10138"|3|"2010-07-14 04:17:49.695459"
"NR11001"|2|"2012-03-18 17:43:53.564583"
"MP07043"|3|"2006-02-13 20:05:19.339699"
"MA99048"|3|"2009-05-14 05:29:55.729806"
"ZC09007"|1|"2008-07-26 13:59:29.258019"
"LB06011"|3|"2012-11-11 08:36:52.580751"
"CJ07001"|1|"2010-12-12 22:53:41.753001"
"SR04026"|3|"2010-04-05 12:42:20.150026"
"HV08018"|2|"2010-04-11 22:37:01.468699"
"MG95013"|1|"2008-12-17 03:48:38.248706"
"CR15008"|1|"2010-12-01 09:30:33.040286"
"MG02051"|2|"2010-08-23 01:45:18.883743"
"MS93051"|2|"2008-07-03 13:01:38.609117"
"FG06016"|2|"2010-09-22 23:28:02.508523"
"LE08012"|1|"2013-11-24 07:29:54.959077"
"AC07068"|3|"2010-01-16 14:02:12.875625"
"VE02003"|3|"2008-06-04 21:42:53.307667"
"SM98037"|1|"2013-06-09 00:23:51.891161"
"FC08028"|2|"2008-05-23 09:39:27.107251"
"RA06007"|2|"2014-01-01 09:50:01.896355"
"RV06009"|2|"2011-07-07 16:38:50.708464"
"GL07016"|1|"2007-09-16 11:42:36.178474"
"ME07013"|2|"2013-09-16 13:09:04.300367"
"MT05019"|1|"2011-04-19 17:43:48.93679"
"MM08047"|3|"2009-10-09 23:16:54.166392"
"RP02027"|1|"2009-07-02 17:19:14.824555"
"PM00027"|1|"2012-10-14 17:53:22.212521"
"CM06128"|2|"2006-08-27 03:50:25.008537"
"SC07015"|1|"2010-09-07 02:22:07.752002"
"RC08056"|2|"2010-01-02 14:47:27.423058"
"MJ04003"|2|"2013-10-23 07:44:35.110935"
"RG03051"|1|"2008-04-28 13:54:13.625569"
"LC07026"|2|"2008-12-05 06:46:53.319171"
"LL06023"|3|"2012-08-10 02:59:51.961141"
"CR10020"|1|"2010-10-07 01:39:23.934952"
"QC05010"|3|"2013-11-18 08:21:24.755544"
"PA08036"|3|"2009-02-02 06:30:12.084321"
"RA02048"|2|"2012-09-04 04:19:58.011694"
"BP07014"|1|"2011-01-28 11:45:49.630674"
"RE04005"|1|"2009-08-03 22:11:25.08064"
"ER02006"|3|"2013-08-13 17:50:55.019321"
"LC95023"|2|"2007-03-04 00:22:38.100121"
"LM05041"|3|"2011-11-29 15:30:50.296559"
"CC01047"|3|"2013-04-23 04:14:34.837204"
"PM00043"|3|"2011-09-11 08:37:26.595466"
"MT11003"|1|"2011-05-21 20:21:42.157452"
"HP06028"|3|"2012-05-05 06:09:16.527267"
"GG01111"|1|"2009-07-25 12:46:13.280226"
"MM06173"|2|"2011-05-29 00:23:58.200246"
"AA93092"|2|"2009-05-24 14:35:29.246852"
"HC05047"|1|"2012-05-14 18:51:16.019693"
"RP06005"|3|"2006-09-21 00:18:07.737163"
"LV11004"|2|"2006-08-11 12:20:57.588867"
"LL06025"|3|"2013-10-24 14:00:39.545085"
"GR07050"|3|"2011-03-14 19:39:02.531014"
"CV08023"|2|"2011-02-10 13:09:33.677087"
"CJ06012"|2|"2009-05-21 05:54:27.028434"
"EG11006"|2|"2011-09-04 05:34:07.893449"
"CH07005"|3|"2010-08-13 11:41:59.601776"
"DM98012"|2|"2012-12-01 06:52:09.359838"
"GM10138"|3|"2009-05-29 22:31:02.152294"
"CJ96002"|2|"2008-03-11 11:00:29.710946"
"SH98024"|1|"2009-04-10 23:48:51.599897"
"GP14019"|1|"2007-04-23 13:33:02.976635"
"EA05016"|1|"2006-05-05 14:44:02.323064"
"MD08009"|2|"2013-01-09 22:44:20.207984"
"GO83019"|2|"2008-08-19 12:05:28.169135"
"CE08006"|1|"2012-12-31 11:22:24.948428"
"GS84009"|1|"2009-10-06 11:01:09.476955"
"RR01088"|3|"2009-02-22 21:51:18.030659"
"GM09077"|3|"2013-07-13 02:21:47.779629"
"CP06028"|2|"2008-04-29 09:16:56.330124"
"CP05047"|2|"2012-02-19 23:39:19.080227"
